description,theme
"""To meet the objective on a shift towards emission-low transport modes and consolidate freight for more efficient transport along green freight corridors we need to better integrate transport subsystems and modes. This integration and the trend towards bigger vehicles/vessels/aircrafts for long-haul transportation services, requires a strengthened role for hubs or transhipment points, connecting (sections of) the TEN-T freight network with each other and last mile delivery services. On the other hand, such nodes have a major impact on the area in which they are located, creating employment and connecting it to all other regions in Europe, as well as intercontinental transport through (air)ports. Both sections, long distance and local, will be operated by dedicated vehicles, optimised for their operating environment. Furthermore both will also need intelligent freight bundling to maximise equipment utilisation, requiring more efficient transhipment, cross and inter modes. These requirements can be met by automated cargo handling of Modular Load Units.Proposals should cover the development and integration of all the following issues:―Identify opportunities to extend the role of hubs beyond transhipment (e.g. storage, handling, packaging, bundling and cleaning) and serve as seeds for smart specialisation and the formation of logistics clusters. Such clusters could integrate manufacturing (e.g. postponed assembly or other non-core manufacturing activities) and advanced logistics services (e.g. kitting for just in time delivery).―Develop governance and business models for such smart specialised logistics clusters, including sharing of (manufacturing) resources to attract investments in new value-added services.―Development of prototype Modular Load Units, optimised for automated handling and high load factors in all transport modes, in line with existing standards.―Development of prototype automated loading and unloading systems, extending outside the building or site and taking into account (local) traffic management, thus maximising all assets utilisation and avoiding congested roads, large parking lots and increased capacity of the cargo handling equipment to deal with peak loads.―Optimise environmental performance of logistics clusters and assess the carbon footprint of existing hubs and the proposed solutions to extend their role and automate their services.The Commission considers that proposals requesting a contribution from the EU of between EUR 4 to 6 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.To meet the challenge on more efficient and sustainable freight transport, proposals are requested to demonstrate how the following will be achieved:―Increased added value of hubs, integrating manufacturing and sharing resources to create logistics clusters with a much higher impact on local economies―Less congestion, energy, emissions, carbon footprint, noise and land-use―Improved door-to-door logistics performance (faster, cheaper and more reliable).―More efficient goods handling (30 % cost reduction) stimulating multi-modal transport solutions.―Increased inter-modality and higher resilience of the transport system.""","""theme"""
"""In a logistics sector with highly increased collaboration, intermodal and dynamic re-routing of freight, there is a need to exploit ICT advances such as Internet-of-Things, big data, new satellite navigation infrastructure and Intelligent Transport Systems with changes in business needs. We need to rethink the way we plan, book and execute freight flows, new systems should provide all stakeholders with reliable information and allow exploitation of the full potential of horizontal collaboration. Furthermore we will need to match the increased need for real-time and open data to plan and track shared freight with guarantees that the exploitation of this data is both safe and secure. Given the vast number small and medium sized enterprises active in the transport sector this project should have a clear focus on the ease of access to all future ICT solutions. To maximise the impact of data sharing, it is vital to also consider the needs and policies of all public stakeholders (cities, regions, road operators, customs authorities, etc.).Building on previous work in the e-Freight domain (including developments on rail TAF TSI, road ITS, inland waterways RIS, maritime SafeSeaNet, European GNNS programmes and aviation SESAR) and on the work of the Digital Transport and Logistics Forum[1], proposals should cover the development and integration of at least 2 of the 3 following issues:A) Planning and data―Develop booking and planning systems for freight to find the best (combinations of) modes and optimal route (e.g. GNSS based route analysis or opportunities for “milk runs”), allowing better network exploitation and more efficient logistics operations.―Identify opportunities for increased availability of freight data (such as shipments, volumes, statuses, destinations, etc.) taking into account security, privacy, data ownership and policies for data sharing[2].―Develop algorithms to increase both load factors and optimise the planned delivery route, based on the specifications of Modular Load Units, the vehicle or container and all required destinations.B) Dynamic routing and business models―Develop event management systems that create visibility and transparency and allow real-time exception management for faster traffic reconfiguration and increased resilience.―Develop business models for dynamic transport services (e.g. cargo was automatically switched between barge and train because a truck encountered traffic congestions and was late at the hub).C) Interoperability and everything connected―Develop simple connection tools that allow low-cost integration of SMEs in the supply chain, offering two-way communication and allowing both efficient planning of their part of the supply chain and giving feedback to other stakeholders.―Integrate simple and cost effective sensors or smart devices (IoT, ITS) into supply chain data management tools.―Harmonise interoperability between supply chain partners, allowing easy information sharing and creating trust in the complexity of multi-modal transport. Solutions should link all public and private stakeholders.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 to 5 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.To realise the full potential of horizontal collaboration, real time data and high interoperability, actions are expected to demonstrate how the following aspects will be achieved:―Better, more flexible integration of ICT solutions and operational processes, linking the digital and physical flows.―Seamless freight transport execution across Member States and modes of transport.―Increased reliability and reduced transit times.―10% higher load factors and 10% shorter delivery routes.―Viable business models for collaborative and dynamic transport services[1]http://ec.europa.eu/transport/media/news/2015-04-15-setting-up-dtlf_en.htm[2]The methodological aspects of data handling and the development of necessary tools in order to allow for effective data mining and data exploitation will be addressed in topic MG-8.2-2017 on big data in Transport.""","""theme"""
"""In Europe, but also in other parts of the world, actions to reduce the carbon footprint of transport and logistics services as part of an integrated supply chain are gaining momentum because the industry sees this as an important domain of competition. However, there needs to be a level playing field amongst companies in Europe, and even world-wide, as regards transparency and comparability of methodologies and data used, including alignment with carbon footprint reporting from other elements of the supply chain. At the moment, the existence of different standards, initiatives and calculation tools, each with its own underlying methodology and data, makes carbon footprints practically incomparable thus hampering potential efficiency gains that would result from this measure.The specific challenge is the establishment of a co-ordinated network, gathering regional, national and international activities and fostering communication, collaboration and consensus-building on harmonised methodologies for carbon footprint calculation along the transport supply chain. The network would also support the implementation of concrete actions in terms of carbon footprint measurement and reporting.The work should be inclusive of the state of the art of ideas, trials and business endeavours on new mobility concepts and build on previous projects, as well as other relevant European and non-European initiatives, and with full consideration of the CEN 16258 standard.Proposals should address all the following issues:―Liaison with standardisation organisations, shippers, transport operators, logistic service providers, transport and trade organisations and other initiatives with a view to align existing methodologies and interpretative rules (with particular reference to CEN 16258) at the European, and preferably at the global level―Develop, improve and/or harmonise guidelines for the measurement and reporting of emissions from freight transport services, based preferably on Scope 3 standard[1] and real world data (where possible).―Develop mechanisms to facilitate and standardise data collection, handling, reporting and monitoring, with particular reference to data sensitivity issues.―Evaluate real world testing and implementation of carbon footprint calculations through case studies.―Certification of methodology and accuracy of calculations.―Design educational tools, including training sessions on carbon foot printing of freight transport and logistics services.―Explore conditions and develop a blueprint for the introduction of carbon foot printing certification schemes (eco-labelling).The Commission considers that proposals requesting a contribution from the EU of between EUR 1 to 2 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.To lower the carbon footprint of transport and logistics services, actions are expected to demonstrate how the following aspects will be achieved:―Collaborative strategies among industry and authorities for win-win solutions for transport and logistics services: greener while not more costly.―Streamlined business processes and efficiency gains.―Fair competition and transparent carbon footprint calculations of transport and logistics services.―A sound proposal for introducing an eco-label for freight transport and logistics servicesThis activity directly aimed at supporting the development and implementation of evidence base for R&I policies and supporting various groups of stakeholders is excluded from the delegation to the Innovation and Networks Executive Agency (INEA) and will be implemented by the Commission services.[1]The Corporate value chain (Scope 3) standard covers the company’s own (Scope 1 & 2) as well as sub-contracted processes (Scope 3), including all transport and location-related processes (e.g. transhipment, storage, administration, commuting). A detailed description of the transport carbon footprint calculation according to the Scope 3 Standard was published in the “Technical Guidance for Calculating Scope 3 Emissions” (WRI; WBCSD, 2011c) in 2013.""","""theme"""
"""Ongoing research efforts show that the translation of the working principles of the Digital Internet to the routing of freight, thus creating the Physical Internet (PI), has the potential to be a real game-changer. In the PI world freight travels from hub to hub in an open network rather than from origin to destination directly. Each parcel is routed automatically and at each section it is bundled for efficiency. In the PI network of networks many (if not all) transport and logistics services would be accessible on demand to all users.This will however require the successful integration of many innovative concepts and non-the-least the mental-shift to adopt a very different governance structure. The Internet of Things for example, which could link every future container, load unit or parcel to the internet, can be considered a pre-requisite for the Physical Internet to work as there will be an increased need to track all goods in a freight environment lacking a fixed and known transport route. The main challenge is to model a future Physical Internet network topology and assess the benefits it could generate in terms of carbon footprint, throughput times and cost reductions. Additionally the concept of the Physical Internet, already identified by ALICE[1], needs to be detailed into a strategic and operational vision which has the capability to get industry-wide endorsement of all stakeholders.This topic will be implemented through two types of actions:1) Research and Innovation Actions. Proposals should cover all the following issues:―Set up a case study to identify the position, size and number of hubs needed for efficiently linking the long distance network and providing sufficient access points to urban areas.―Map the influence sphere of each node and its benefits across borders to fuel future shared investments.―Develop simulation and modelling tools to assess the possible impact of the PI, including the socio-economic aspects.2) Coordination and Support Actions. Proposals should cover all the following issues:―Develop a roadmap towards the Physical Internet (milestones, first implementation opportunities, etc.) defining which changes are required for migrating to a PI and how these could take place (e.g. current vs future logistic practices, IT applications and enabling technologies, business models, mental shift, integration of SMEs, customer behaviour, etc.).―Monitor logistics and freight transport initiatives and research projects from relevant European programmes (H2020, TEN-T, etc.), and their impacts and contributions to Physical Internet. Fostering the links between ALICE and other transport and manufacturing focused ETPs with the aim to identify barriers and opportunities for the deployment of research results and improvement of framework conditions.―Create support and consensus between public bodies, research and industry stakeholders on opportunities, barriers and next steps towards a PI. Organise workshops to present and discuss results, trends, exchange experience and foster innovation aspects―Explore the need for legislative initiatives by authorities, including a legal contractual framework for participants to the Physical Internet.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 to 3 million each for Research and Innovation Actions, and between EUR 0.5 to 1 million for Coordination and Support Actions would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.To achieve the benefits resulting from the paradigm change proposed by the Physical Internet, actions are expected to demonstrate how the following aspects can be achieved:―Kick-Start the development of the Physical Internet through building industry-wide support.―Improved asset utilisation.―30% reduction in terms of congestion, emissions and energy consumption.The Coordination and Support Actions of this activity, directly aimed at supporting the development and implementation of evidence base for R&I policies and supporting various groups of stakeholders, are excluded from the delegation to the Innovation and Networks Executive Agency (INEA) and will be implemented by the Commission services.[1]Alliance for Logistics Innovation through Collaboration in Europe (http://www.etp-logistics.eu/).""","""theme"""
"""Ongoing research efforts show that the translation of the working principles of the Digital Internet to the routing of freight, thus creating the Physical Internet (PI), has the potential to be a real game-changer. In the PI world freight travels from hub to hub in an open network rather than from origin to destination directly. Each parcel is routed automatically and at each section it is bundled for efficiency. In the PI network of networks many (if not all) transport and logistics services would be accessible on demand to all users.This will however require the successful integration of many innovative concepts and non-the-least the mental-shift to adopt a very different governance structure. The Internet of Things for example, which could link every future container, load unit or parcel to the internet, can be considered a pre-requisite for the Physical Internet to work as there will be an increased need to track all goods in a freight environment lacking a fixed and known transport route. The main challenge is to model a future Physical Internet network topology and assess the benefits it could generate in terms of carbon footprint, throughput times and cost reductions. Additionally the concept of the Physical Internet, already identified by ALICE[1], needs to be detailed into a strategic and operational vision which has the capability to get industry-wide endorsement of all stakeholders.This topic will be implemented through two types of actions:1) Research and Innovation Actions. Proposals should cover all the following issues:―Set up a case study to identify the position, size and number of hubs needed for efficiently linking the long distance network and providing sufficient access points to urban areas.―Map the influence sphere of each node and its benefits across borders to fuel future shared investments.―Develop simulation and modelling tools to assess the possible impact of the PI, including the socio-economic aspects.2) Coordination and Support Actions. Proposals should cover all the following issues:―Develop a roadmap towards the Physical Internet (milestones, first implementation opportunities, etc.) defining which changes are required for migrating to a PI and how these could take place (e.g. current vs future logistic practices, IT applications and enabling technologies, business models, mental shift, integration of SMEs, customer behaviour, etc.).―Monitor logistics and freight transport initiatives and research projects from relevant European programmes (H2020, TEN-T, etc.), and their impacts and contributions to Physical Internet. Fostering the links between ALICE and other transport and manufacturing focused ETPs with the aim to identify barriers and opportunities for the deployment of research results and improvement of framework conditions.―Create support and consensus between public bodies, research and industry stakeholders on opportunities, barriers and next steps towards a PI. Organise workshops to present and discuss results, trends, exchange experience and foster innovation aspects―Explore the need for legislative initiatives by authorities, including a legal contractual framework for participants to the Physical Internet.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 to 3 million each for Research and Innovation Actions, and between EUR 0.5 to 1 million for Coordination and Support Actions would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.To achieve the benefits resulting from the paradigm change proposed by the Physical Internet, actions are expected to demonstrate how the following aspects can be achieved:―Kick-Start the development of the Physical Internet through building industry-wide support.―Improved asset utilisation.―30% reduction in terms of congestion, emissions and energy consumption.The Coordination and Support Actions of this activity, directly aimed at supporting the development and implementation of evidence base for R&I policies and supporting various groups of stakeholders, are excluded from the delegation to the Innovation and Networks Executive Agency (INEA) and will be implemented by the Commission services.[1]Alliance for Logistics Innovation through Collaboration in Europe (http://www.etp-logistics.eu/).""","""theme"""
"""Full implementation of ITS will allow advanced capabilities across national boundaries and transport modes, to respond to multiple users’ needs and enable improved travel performance. Analysis and development of coherent concepts, encompassing all relevant elements, systems and services to bring Europe's transport system towards a more user-centric, digital and intelligent mobility model (e.g. mobility as a service) to make advanced travel planning a reality need to be ensured. Utilisation of open data (produced by both the public and private sector) in the establishment of novel services is a key element. Data protection must also be ensured. A paradigm change in transportation is expected to take place through mobility as a service, where the service providers could offer travellers easy, flexible, reliable, price-worthy and environmentally sustainable everyday travel, including for example public transport, car-sharing, car leasing and road use, as well as more efficient goods shipping and delivery possibilities. Although activities in this field are on-going in some of the EU Member States, at present, there is no quantifiable evidence on its costs and benefits, as well as on its influence on travel patterns and behaviour of the end users.Evidence-based decision support is needed, for full utilisation of data and automation as an integral part of the transport system, to facilitate the development of mobility service business models and innovative financing, pricing and taxation methods to steer users to choose smart mobility, as well as linking transport, communications and energy networks together to support an effective and socio-economically pertinent deployment of novel transport services.In order to meet this challenge, proposals should address several of the following aspects:―Multi-modal, cross-border traffic management, information and planning systems to serve passengers and/or other users.―Analysis of the range of services to be made accessible under each interface, by taking into account differences in preferences and behaviour between various user groups.―Identification of the success and failure factors (technological, economic and socio-cultural) of the new concept(s), such as mobility as a service, with particular attention to the users' acceptance factors.―Identification of the necessary framework (regulatory, technological, financial, etc.) to support the implementation of new services, including the needed private-public collaboration requirements.―Identification and development of viable business models suitable for future market take-up.―Identification and validation of measures apt to induce socially-responsible (e.g. vis-à-vis the environment and the community at large) travel behaviours and advanced planning (e.g. via integrated intermodal paperless ticketing).Participation of SMEs with proven experience in these areas is encouraged.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 to 3.5 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to lead to:―Advanced, cross-border, multi-modal travel planning and booking/ticketing for today's needs, as well as identification of future framework requirements, including socially responsible behaviour, fostering sustainable development and social inclusion.―Proof of concepts, including demonstrations, testing and development of private-public collaboration, supported by appropriate technological systems and services.―Novel business models for (large scale) deployment of innovative intermodal/integrated mobility concept(s) and services, including service definition(s), organisational structure/value chain, financial framework and technology harmonisation.""","""theme"""
"""Despite a number of ITS developments in recent years, several initiatives were undertaken in very specific environments, on an ad-hoc, isolated local or national basis, focusing mostly within a particular transport mode (e.g. Road). On top of this, the cooperative dimension of ITS and the applicability in different settings (e.g. urban, highway, long-distance, etc.) has so far not been sufficiently addressed. The time has come to bring this all together, leverage the achievements of past and current pilots and perform large-scale, real-life demonstrations in a specific (for example highly dense population) or combinations of environments that would not only showcase the current status of development and the large potential of C-ITS, but also reveal key areas for future research, innovation and deployment-related issues. A challenge towards full deployment of C-ITS remains the lack of a detailed testing methodology to validate developments of cooperative services and architectures.An integral part of this challenge is the demonstration of functioning partnerships of multiple stakeholders, namely private (including telecom, infrastructure and transport service operators and service providers, and Original Equipment Manufacturers), public authorities, emergency services, and other stakeholder groups and users, including a proof of actual commitment from the test sites. It should also be supported by thorough post-demonstration impact and cost-benefit assessment and evaluation of C-ITS concepts and technologies, including implementation issues. This will also offer an opportunity for stakeholders and partners to address issues and identify relevant technologies, including European GNSS, and processes to develop operational systems to be kept in place beyond the life of the pilot and lead towards automated transport. In order to meet this challenge, proposals should address several of the following aspects:―Enable services based on appropriate access and sharing of data leveraging in-vehicle resources and 2-way V2V, V2I, I2I and vulnerable road users connectivity in complex urban environments.―Enable interoperability across systems including testing and validating standards.―Demonstrating and validating cross-modal integration (e.g. including crossing) and potential for cross-border inter-operability. Interconnected and independent systems should be developed taking account of existing European and international standards and platforms.Participation of SMEs with proven experience in these areas is encouraged.Proposals should foresee twinning with entities participating in projects funded by US, to exchange knowledge and experience and exploit synergies, particularly for the development of validation methodologies.The Commission considers that proposals requesting a contribution from the EU of between EUR 11 to 13 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to lead to:―Improved level of performance for the entire transport system, including more efficient traffic management and safety improvements to enable a more sustainable transport system and foster overall socio-economic development.―Fully integrated C-ITS concepts in practical, real-life, complex environments being tested and demonstrated.―Greater collaboration (and partnerships) between multiple stakeholders to deploy applications and facilitate the interoperable interactions across all elements of the transport system, including the use of data from multiple sources (e.g. vehicle, mobile device and infrastructure).―A comprehensive cost-benefit analysis of the pilot that demonstrates the value added and economic viability of C-ITS services and solutions for users and other stakeholders.―Validated results and proven impact on user acceptance, safety, resilience and security with respect to transport demand and the environment.""","""theme"""
"""ITS business models (including cooperative ITS) have not evolved sufficiently to take into account the broad range of new technologies, systems and services, as well as user needs. A key challenge for ITS remains the ""last-mover advantage"", where many parties wait for others to deploy first, to maximise their own immediate benefits at lowest possible implementing cost. It is a challenge to address market sizing, customer demand versus production, project feasibility and financial returns, as well as security aspects of relevant mobility services. The implementation of Key Performance Indicators (KPIs), building on on-going activities[1] for the assessment and measurement of ITS deployment (infrastructure and vehicle based) and associated benefits (contribution to public policies and objectives) is at the centre of this challenge.Building upon the EU strategy for the deployment of C-ITS, the action should develop tools and guidance to support public and private stakeholders, in particular Member States, with the development of efficient policies for C-ITS deployment based on consolidated knowledge across the EU and the work undertaken by the C-ITS Platform[2].Proposals should address one or several of the following aspects:―Building upon the latest developments, raise awareness of the benefits of C-ITS through knowledge-enhancing education and training practices (e.g. tools and guidance to support public and private stakeholders).―Implementing Key Performance Indicators (KPIs) for the performance assessment and measurement of ITS deployment and benefits/impact assessment.―Financing measures to support inter alia the development, purchase, installation and maintenance of new ITS systems.―Market sizing, customer demand vs. production, project feasibility and financial returns, as well as security assessment (cyber-attacks / unintended exploitation) of mobility services.Participation of SMEs with proven experience in these areas is encouraged.Proposals should foresee twinning with entities participating in projects funded by US, to exchange knowledge and experience and exploit synergies.The Commission considers that proposals requesting a contribution from the EU of between EUR 1 and 2 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to lead to:―Understanding of the dynamics behind the current status of ITS implementation across Europe and solutions that address the ""last mover advantage"" issue hindering the deployment of ITS (including C-ITS).―Contributions that concretely support the development of more efficient policies for C-ITS deployment across the EU, accelerating the roll-out of related services in line with those agreed in the context of the C-ITS Platform[3].―New business models that are able to inform decision-making across a variety of stakeholders and identify potential incentives to accelerate deployment.This activity directly aimed at supporting the development and implementation of evidence base for R&I policies and supporting various groups of stakeholders is excluded from the delegation to the Innovation and Networks Executive Agency (INEA) and will be implemented by the Commission services.[1]EC study on KPIs for ITS; TEN-T European ITS Platform (EIP+) and ITS corridors projects (from TEN-T Call 2013).[2]See http://ec.europa.eu/transport/themes/its/news/c-its-deployment-platform_en.htm[3]http://ec.europa.eu/transport/themes/its/index_en.htm""","""theme"""
"""Extreme weather conditions, climate change, damages to the infrastructure (caused by natural and man-made hazards) and traffic impediments negatively impact the reliability of mobility solutions. Risk analysis, adaptation measures and strategies need to be developed that enable minimising the impact of both natural and man-made extreme events on seamless transport operation, protect the users of the transport network in case of extreme conditions, as well as provide optimal information to the operators and users of the transport infrastructure.Building on results obtained by FP7 and ERA-NET Road / CEDR[1] projects and EUROCONTROL[2] studies, proposals should address several of the following aspects:―Identification of risk factors and mapping of the extreme weather conditions and climate risk ‘hot spots’ and their possible impact on the European transport network; identification of the appropriate risk analysis, adaptation measures, and development of cross-modal implementation strategies or operational strategies that optimise cost-performance-risk.―Strategic application of new materials, techniques and systems for construction, operations and maintenance in order to ensure reliable network availability during unfavourable conditions.―Integration of terrestrial and satellite systems for the structural health monitoring of key infrastructures located in a natural risk (earthquakes, landslides, floods and extreme weather) prone area and for the monitoring of extreme weather conditions.―Innovative engineering of links and connections to allow a smooth transfer from one mode to another in case of extreme disruption in one transport mode.―Assessment of the psychological and behavioural dimensions of safety from the perspective of users, including risk tolerance levels during extreme events.SME active participation is strongly encouraged.In line with the Union's strategy for international cooperation in research and innovation[3], international cooperation is encouraged. In particular, proposals should foresee twinning with entities participating in projects funded by US DOT[4] to exchange knowledge and experience and exploit synergies.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 to 5 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions will contribute to substantial improvement of smooth continuity of mobility of people and freight even in case of serious disruptions due to natural or man-made circumstances. Major progress will be made regarding individual mode components’ resilience to damage due to extreme weather conditions, including reduction of maintenance and retrofitting needs. Projects will contribute to achieve reliable modal interchanges allowing continuous fluid traffic flow even during or after disruption. A high level of resilience of the transport infrastructure is an essential contribution to sustainable development and of impact on and adaptation to climate change conditions.[1]http://www.cedr.fr/home/index.php?id=260[2]http://www.eurocontrol.int/sesar-research[3]COM(2012)497[4]United States Department of Transportation (http://www.dot.gov/).""","""theme"""
"""The European transport network is highly developed, even if not fully balanced between regions and countries. Whilst some links are still missing and an effort is needed to complete trans-European connections, other corridors and nodes face increasing problems of congestions and under-capacity compared with traffic evolution. Key to improving capacity and availability of the existing transport infrastructure network are innovative systems and processes for re-engineering, retrofitting and upgrading that support a transition to zero intrusion from inspection, construction and maintenance (less, faster and better planned interventions with maximum safety for the workers) and drastically increase the productivity of the system.In order to meet these challenges, proposals should address one or several of the following aspects, according the specific situation addressed:―Re-engineering/re-design methods to adapt the network to new needs and ensure higher efficiency.―Innovative design and construction methods that are fast, cost-efficient, using low maintenance and environment-friendly materials and flexible enough to accommodate increasing/changing demand. In particular, implementing advanced construction concepts and processes for corridors and hubs, i.e. flexible design and modular concepts, and advanced predictive models.―Assessment of the multimodal network capacity in view of optimised use and future planning, taking due consideration of the uncertainty of demand evolution.Attention is to be paid to the design, construction and operation of corridors, terminals, hubs and gateways as points of interchange (within the same mode) or transfer (between the modes). Airports of all sizes and operations are included. The action could also address synchro-modality over key transport corridors, where inland waterways represent a major challenge.SME active participation is strongly encouraged.In line with the Union's strategy for international cooperation in research and innovation[1], international cooperation, in particular with Neighbouring Partner Countries, is encouraged. Proposals should take into consideration research actions already funded under the INFRAVATION ERA-NET Plus.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 to 6 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to contribute to more optimal use of the multimodal transport system including avoidance of over-dimensioning of the physical network whilst reducing congestion and overload of specific network components and accommodating future demand; major progress is expected regarding accessibility and operational efficiency of multimodal hubs. Increase of the infrastructure performance will also contribute to the achievement of sustainable development in the sector and to minimise effects on climate change via the improvement of construction methods and traffic smoothness.[1]COM(2012)497""","""theme"""
"""Ports are a major example of hubs' need for modernisation. Ports are essential for the European economy as a global player and for the internal market. They are a main catalyst for regional development and their optimisation and inclusion in the territory is fundamental to ensure that efficient operations will not affect negatively the surrounding areas. Specific issues (like dredging, emission reductions, and energy transition, incl. electrification, smart grids, and the use of renewables management and emissions) are combined with other challenges common to all multi-modal terminals.Research is needed to implement new port concepts, new management models, and innovative design, engineering, construction and operation technologies solutions for full customer satisfaction. The topic is articulated in two parts:1) Research and innovation actions should address several of the following aspects:―Multi-modal optimised cost-effective and flexible operations inside the terminal and in the wider port area. Re-engineering of port operational processes via process analysis and identification of interoperable ICT systems to improve the level of integration among all actors (Port Authorities, terminal operators, shipping companies, customs, security forces, etc.) and facilitate critical decision-making.―Sustainable maintenance, repair and reconfiguration.―Better capacity management with reduced costs and land use. Identification of real-time indicators to improve the quality of services provided.―Low environmental impact, climate change adaptation, and moves towards the circular economy.―Advanced and efficient links and integration in the socio-economic industrial and urban surrounding environment efficient connections with the hinterland transport network.―Efficient connections with the hinterland transport network contributing to an increased use of the most energy-efficient transport modes, in particular rail.Inland waterways and short sea shipping ports deserve particular attention. Proposals should consider the possible transferability of solutions to other ports and multimodal hubs such as rail-freight terminals, inter-ports, airports and dry ports.2) Coordination and support actions should focus on clustering retained proposals, identifying appropriate KPIs and relevant monitoring and evaluation of results of actions stemming from this call, from other calls of this programme and other ongoing activities in the sector.In line with the Union's strategy for international cooperation in research and innovation[1], international cooperation, in particular with Mediterranean and other Neighbouring Partner Countries, is encouraged.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 to 5 million each for Research and Innovation Actions, and up to EUR 1 million for Coordination and Support Actions, would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to result in reduction of environmental impact of port activities, their operational and infrastructural costs, improvement of logistics efficiency and better integration of the port in the surrounding socio-economic area. Realisation of the expected impacts will entail attention to environmental and climate-related concerns.[1]COM(2012)497""","""theme"""
"""Ports are a major example of hubs' need for modernisation. Ports are essential for the European economy as a global player and for the internal market. They are a main catalyst for regional development and their optimisation and inclusion in the territory is fundamental to ensure that efficient operations will not affect negatively the surrounding areas. Specific issues (like dredging, emission reductions, and energy transition, incl. electrification, smart grids, and the use of renewables management and emissions) are combined with other challenges common to all multi-modal terminals.Research is needed to implement new port concepts, new management models, and innovative design, engineering, construction and operation technologies solutions for full customer satisfaction. The topic is articulated in two parts:1) Research and innovation actions should address several of the following aspects:―Multi-modal optimised cost-effective and flexible operations inside the terminal and in the wider port area. Re-engineering of port operational processes via process analysis and identification of interoperable ICT systems to improve the level of integration among all actors (Port Authorities, terminal operators, shipping companies, customs, security forces, etc.) and facilitate critical decision-making.―Sustainable maintenance, repair and reconfiguration.―Better capacity management with reduced costs and land use. Identification of real-time indicators to improve the quality of services provided.―Low environmental impact, climate change adaptation, and moves towards the circular economy.―Advanced and efficient links and integration in the socio-economic industrial and urban surrounding environment efficient connections with the hinterland transport network.―Efficient connections with the hinterland transport network contributing to an increased use of the most energy-efficient transport modes, in particular rail.Inland waterways and short sea shipping ports deserve particular attention. Proposals should consider the possible transferability of solutions to other ports and multimodal hubs such as rail-freight terminals, inter-ports, airports and dry ports.2) Coordination and support actions should focus on clustering retained proposals, identifying appropriate KPIs and relevant monitoring and evaluation of results of actions stemming from this call, from other calls of this programme and other ongoing activities in the sector.In line with the Union's strategy for international cooperation in research and innovation[1], international cooperation, in particular with Mediterranean and other Neighbouring Partner Countries, is encouraged.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 to 5 million each for Research and Innovation Actions, and up to EUR 1 million for Coordination and Support Actions, would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Actions are expected to result in reduction of environmental impact of port activities, their operational and infrastructural costs, improvement of logistics efficiency and better integration of the port in the surrounding socio-economic area. Realisation of the expected impacts will entail attention to environmental and climate-related concerns.[1]COM(2012)497""","""theme"""
